cycle,hora,ro_oxy_2m,ro_sat_2m,ro_turb_2m,ro_oxy_4m,ro_sat_4m,ro_turb_4m,ro_oxy_6m,ro_sat_6m,ro_turb_6m,bar_temp_2m,bar_temp_4m,bar_temp_5m
1,2026-02-12 17:51:00,11.11,124.8,6.2,10.53,117.94,6.47,10.03,107.3,9.47,19.11,18.11,18.76
2,2026-02-12 18:52:41,11.01,121.4,7.47,10.13,112.66,5.88,8.95,101.66,9.49,18.48,16.86,17.53
3,2026-02-12 19:54:27,10.03,106.4,8.4,10.31,109.7,5.92,9.9,102.8,11.05,16.16,16.36,16.87
4,2026-02-12 20:55:17,8.98,93.3,6.99,8.92,93.65,5.06,9.26,97.34,8.51,15.7,15.8,15.92
5,2026-02-12 21:55:55,9.77,100.09,8.65,9.78,101.66,4.79,9.68,99.07,9.4,15.6,15.85,15.77
6,2026-02-12 22:56:33,10.02,103.43,7.87,9.98,105.56,5.13,9.79,102.27,7.71,15.97,16.35,16.0
7,2026-02-12 23:57:13,9.78,105.52,8.48,9.87,107.04,5.35,9.65,101.67,8.53,18.14,16.67,17.03
8,2026-02-13 01:20:07,9.63,104.25,8.44,9.96,107.8,6.0,9.74,105.22,9.26,16.95,18.35,18.22
9,2026-02-13 02:38:37,9.45,102.55,8.19,9.54,103.54,7.18,9.24,101.4,10.52,18.56,18.34,18.01
10,2026-02-13 03:39:44,9.29,100.67,8.58,9.27,100.67,6.64,9.28,100.6,9.96,18.52,18.25,17.85
11,2026-02-13 04:40:46,9.16,99.28,8.7,9.21,101.26,6.97,9.29,100.68,9.6,18.62,18.19,17.96
12,2026-02-13 05:41:58,9.28,100.58,9.54,9.0,97.05,9.59,8.99,100.1,10.41,18.71,18.45,18.12
