cycle,hora,ro_oxy_1m,ro_sat_1m,ro_turb_1m,ro_oxy_2m,ro_sat_2m,ro_turb_2m,ro_oxy_3m,ro_sat_3m,ro_turb_3m,ro_oxy_4m,ro_sat_4m,ro_turb_4m,ro_oxy_5m,ro_sat_5m,ro_turb_5m,ro_oxy_6m,ro_sat_6m,ro_turb_6m,bar_temp_0m,bar_temp_1m,bar_temp_2m,bar_temp_3m,bar_temp_4m,bar_temp_5m
1,2026-02-12 17:51:00,11.15,124.4,6.22,11.11,124.8,6.2,10.9,124.13,6.53,10.53,117.94,6.47,10.3,112.14,5.84,10.03,107.3,9.47,20.21,19.79,19.11,17.99,18.11,18.76
2,2026-02-12 18:52:41,11.01,121.4,7.47,11.01,121.4,7.47,10.74,117.75,6.7,10.13,112.66,5.88,9.45,107.1,4.82,8.95,101.66,9.49,17.57,18.07,18.48,16.71,16.86,17.53
3,2026-02-12 19:54:27,9.63,100.0,10.08,10.03,106.4,8.4,10.51,113.73,5.98,10.31,109.7,5.92,10.17,106.82,6.01,9.9,102.8,11.05,16.5,17.11,16.16,17.97,16.36,16.87
4,2026-02-12 20:55:17,9.5,96.7,9.71,8.98,93.3,6.99,8.58,89.94,4.44,8.92,93.65,5.06,9.16,95.89,5.4,9.26,97.34,8.51,15.51,15.72,15.7,16.41,15.8,15.92
5,2026-02-12 21:55:55,9.8,99.3,9.7,9.77,100.09,8.65,9.77,101.33,6.37,9.78,101.66,4.79,9.59,101.82,4.81,9.68,99.07,9.4,14.46,15.45,15.6,15.83,15.85,15.77
6,2026-02-12 22:56:33,9.89,101.3,8.88,10.02,103.43,7.87,10.26,107.33,5.46,9.98,105.56,5.13,9.71,104.59,4.71,9.79,102.27,7.71,14.96,15.51,15.97,15.7,16.35,16.0
7,2026-02-12 23:57:13,9.72,104.9,9.29,9.78,105.52,8.48,9.94,108.04,5.57,9.87,107.04,5.35,9.76,104.05,5.53,9.65,101.67,8.53,15.97,16.57,18.14,18.24,16.67,17.03
8,2026-02-13 01:20:07,9.52,103.1,9.55,9.63,104.25,8.44,9.97,107.98,5.93,9.96,107.8,6.0,9.9,107.12,5.23,9.74,105.22,9.26,15.7,18.76,16.95,18.49,18.35,18.22
9,2026-02-13 02:38:37,9.37,101.6,9.77,9.45,102.55,8.19,9.58,103.98,5.96,9.54,103.54,7.18,9.51,103.66,7.11,9.24,101.4,10.52,14.31,18.6,18.56,18.49,18.34,18.01
10,2026-02-13 03:39:44,9.28,100.6,9.41,9.29,100.67,8.58,9.29,100.73,6.85,9.27,100.67,6.64,9.31,102.77,7.95,9.28,100.6,9.96,14.0,18.55,18.52,16.39,18.25,17.85
11,2026-02-13 04:40:46,9.26,100.4,9.55,9.16,99.28,8.7,8.95,97.3,6.52,9.21,101.26,6.97,9.35,101.28,7.53,9.29,100.68,9.6,14.44,15.37,18.62,18.5,18.19,17.96
12,2026-02-13 05:41:58,9.27,100.4,9.89,9.28,100.58,9.54,9.31,101.04,7.32,9.0,97.05,9.59,9.25,100.6,7.31,8.99,100.1,10.41,14.52,18.82,18.71,18.61,18.45,18.12
